Gene mut_lof mut_mis3 dn_lof dn_mis3 cc_case1 cc_case2 cc_control1 cc_control2
G1600 1.9208671360864e-06 1.2112e-06 0 0 0 0 0 0
G1601 1.24732976246809e-06 6.27724e-07 0 0 3 0 5 0
G1602 1.32112020907403e-06 1.6379e-06 0 0 0 0 0 0
G1603 1.00933667823036e-06 2.70934e-06 0 0 0 0 0 0
G1604 7.21243267739625e-06 1.04146e-10 0 0 0 0 0 1
G1605 2.89172144306145e-06 2.95737e-06 0 0 0 0 0 0
G1606 1.86868051454156e-06 4.77041e-06 1 0 0 0 0 0
G1607 1.91287855366906e-06 3.26735e-06 0 0 0 0 0 0
G1608 3.57914662870953e-06 3.75093e-06 0 0 0 2 0 1
G1609 5.3398743217837e-06 1.89693e-06 0 0 0 0 0 0
G1610 2.56386170132603e-06 1.53379e-05 0 0 2 0 11 0
G1611 2.1707149776536e-06 5.78828e-06 0 0 0 0 0 0
G1612 1.32466489258807e-06 6.45971e-06 0 0 9 0 6 0
G1613 3.20919520775424e-06 8.8112e-06 0 0 0 0 0 0
G1614 1.74987269410891e-06 2.80186e-06 0 0 0 0 0 0
G1615 3.35456094373448e-06 1.99978e-06 0 0 0 0 0 0
G1616 1.74235509012726e-06 2.489e-06 0 0 0 0 0 0
G1617 2.53391198155384e-06 4.38845e-06 0 0 0 0 0 0
G1618 1.69656357059365e-06 1.15295e-06 0 0 6 0 12 0
G1619 1.92868650507133e-06 7.12952e-06 0 0 0 0 0 0
G1620 1.69098910792863e-06 2.26399e-06 0 0 3 0 2 2
G1621 4.61887331344384e-07 4.42415e-07 0 0 0 0 0 0
G1622 4.02717593325002e-07 1.04146e-10 0 0 0 0 0 0
G1623 7.64111938915115e-07 1.04146e-10 0 0 0 0 0 0
G1624 2.96356065202318e-06 6.99334e-06 0 0 0 0 0 0
G1625 7.8235992606343e-07 2.63888e-06 0 0 0 14 0 18
G1626 1.78016074358018e-07 1.04146e-10 0 0 0 0 0 0
G1627 1.05924197491687e-06 1.47126e-06 0 0 1 0 0 0
G1628 1.12828053187278e-06 1.34642e-06 0 0 0 0 0 0
G1629 1.57217953420677e-06 2.87852e-06 0 0 0 0 0 0
G1630 2.76085071171998e-06 1.54224e-05 0 0 0 4 0 0
G1631 2.24154863809937e-06 1.36689e-05 0 0 0 0 0 0
G1632 2.12981081605771e-06 7.48239e-06 0 0 0 0 0 0
G1633 2.02254131936888e-06 1.04146e-10 0 0 0 0 1 0
G1634 6.22662577555685e-06 1.38223e-05 0 0 0 0 0 0
G1635 6.34091723741745e-08 1.04146e-10 0 0 0 0 0 0
G1636 1.66635994066411e-06 1.04146e-10 0 0 0 0 0 0
G1637 1.12408102427172e-06 2.58652e-06 0 0 0 0 0 0
G1638 9.8928999226698e-07 2.57441e-06 0 0 0 0 0 0
G1639 6.3513985948049e-06 2.59766e-05 0 0 0 0 0 0
G1640 2.13104916676683e-07 1.04146e-10 0 0 0 0 0 0
G1641 5.1919162655518e-07 1.13534e-06 0 0 0 0 0 0
G1642 6.2154748295591e-07 6.64593e-08 0 0 0 0 0 0
G1643 8.55629619069795e-07 1.45195e-06 0 0 0 1 0 1
G1644 1.14706663895934e-06 1.07732e-06 0 0 0 0 0 0
G1645 4.45734260955148e-07 1.04146e-10 0 0 0 0 0 0
G1646 4.09873640371852e-07 1.93766e-06 0 0 0 0 0 0
G1647 5.1963160900202e-06 1.3918e-05 0 0 2 0 1 4
G1648 1.29130928809808e-06 4.5767e-06 0 0 12 0 22 0
G1649 1.79235557399628e-06 2.7752e-06 0 0 0 0 0 0
G1650 2.14933235401457e-06 1.01863e-05 0 0 0 0 0 0
G1651 1.37253324681916e-06 1.59165e-06 0 0 0 0 0 0
G1652 7.7015740977165e-07 2.28704e-06 0 0 0 0 0 0
G1653 1.18610518699969e-06 1.04146e-10 0 0 0 1 0 0
G1654 1.00963425223579e-06 1.04146e-10 0 0 0 0 0 0
G1655 1.10585277587373e-06 6.26274e-06 0 0 0 0 0 0
G1656 9.39466283817155e-07 4.8673e-06 0 1 0 0 0 0
G1657 1.09466251019378e-06 5.09521e-06 0 0 0 0 0 0
G1658 2.76107551084789e-06 5.33332e-06 1 0 0 0 0 0
G1659 7.4379731728236e-07 1.15462e-06 0 0 0 0 0 0
G1660 1.97222735901414e-06 4.79028e-06 0 0 0 0 0 0
G1661 3.5857584528668e-07 2.24832e-07 0 0 0 0 0 0
G1662 6.288923678294e-07 3.89636e-06 0 0 0 0 0 0
G1663 7.33425431007505e-07 1.04146e-10 0 0 0 0 0 0
G1664 3.79591510611513e-07 4.39744e-07 0 0 0 6 0 10
G1665 4.23423751841416e-07 1.55193e-06 0 0 2 0 2 0
G1666 2.41291136925947e-07 1.98144e-06 0 0 0 0 0 0
G1667 7.09086116364995e-07 9.3008e-07 0 0 7 0 8 0
G1668 5.20655011749105e-07 1.19272e-06 0 0 0 0 0 0
G1669 6.4595481424751e-07 1.9163e-07 0 0 0 0 0 0
G1670 1.0012548722247e-06 1.4159e-06 0 0 14 0 18 0
G1671 1.17982687566115e-06 9.94808e-07 0 0 0 0 0 0
G1672 1.46293424643194e-06 1.94601e-06 0 0 0 0 0 0
G1673 2.7037049666655e-07 1.04146e-10 0 0 0 0 0 0
G1674 1.46305968962897e-06 1.04146e-10 0 0 0 0 0 0
G1675 1.1756407353882e-06 1.04146e-10 0 0 0 4 0 6
G1676 1.4773166995349e-06 1.04146e-10 0 0 0 0 0 0
G1677 8.77590367173445e-07 1.00519e-06 0 0 0 0 0 0
G1678 1.12886264823363e-06 1.04146e-10 0 0 0 0 0 0
G1679 1.3201496936122e-06 1.04146e-10 0 0 0 0 0 0
G1680 1.3261985903479e-06 2.45051e-07 0 0 0 0 0 0
G1681 2.48997865233479e-06 3.62204e-06 0 0 0 0 0 0
G1682 2.56428116288086e-06 4.50268e-06 0 0 10 0 5 0
G1683 3.37673055358076e-06 3.85894e-06 0 0 0 1 0 0
G1684 1.14667193491232e-06 3.231e-06 0 0 0 0 0 0
G1685 1.49897054076753e-06 4.55884e-06 0 0 0 0 1 0
G1686 4.00751980808216e-07 1.47887e-06 0 0 0 0 0 0
G1687 1.18219792898824e-06 1.3989e-06 0 0 0 0 0 0
G1688 1.32721060089349e-07 1.04146e-10 0 0 0 2 0 10
G1689 1.22571020140292e-06 5.19889e-06 0 0 8 0 8 0
G1690 4.71836768379876e-06 7.56078e-06 0 0 3 0 3 0
G1691 3.26491844619365e-07 1.04146e-10 0 0 0 0 0 0
G1692 1.14741927790349e-06 2.40051e-06 0 0 0 0 0 0
G1693 1.16337640649079e-06 3.20765e-06 0 0 0 0 0 0
G1694 4.18657401474387e-07 1.04146e-10 0 0 0 0 0 2
G1695 2.21272878591253e-07 1.04146e-10 0 0 0 7 0 10
G1696 6.7216687520488e-07 5.6864e-07 0 0 0 0 0 0
G1697 6.7122468512409e-07 1.25192e-06 0 0 0 0 0 0
G1698 2.22469694469093e-07 1.04146e-10 0 0 0 0 0 0
G1699 2.40222142270877e-07 1.04146e-10 0 0 0 0 0 0
G1700 4.4317257909443e-07 1.04146e-10 0 0 0 1 0 0
G1701 2.88894696287725e-06 3.48539e-06 0 0 8 0 12 0
G1702 1.77425676367113e-06 9.86115e-08 0 0 0 0 0 0
G1703 9.28431763071665e-07 3.13684e-07 0 0 0 0 0 0
G1704 3.65048364216232e-07 1.04146e-10 0 0 0 0 0 0
G1705 1.12452087623264e-06 1.04146e-10 0 0 0 0 0 0
G1706 5.2540405367393e-07 1.39668e-08 0 0 0 0 0 0
G1707 3.37651933389476e-06 6.68926e-06 0 0 0 0 1 0
G1708 2.25246465354488e-06 5.37826e-06 0 0 9 0 10 0
G1709 3.60781390031147e-07 1.04146e-10 0 0 0 0 0 0
G1710 4.2968151968569e-07 1.04146e-10 0 0 0 0 0 0
G1711 3.99267282847822e-07 1.11683e-06 0 0 0 0 0 0
G1712 4.33723734375477e-08 1.04146e-10 0 0 0 5 0 2
G1713 2.89231111114675e-07 2.09386e-07 0 0 0 0 0 0
G1714 6.7301531011789e-07 2.35522e-06 0 0 0 0 0 0
G1715 3.17573677787062e-07 1.04146e-10 0 0 0 0 0 0
G1716 2.26483019368267e-07 1.04146e-10 0 0 0 0 0 0
G1717 5.68928485001525e-07 1.7279e-07 0 0 0 0 0 0
G1718 2.13188935907576e-06 1.04146e-10 0 0 0 0 0 0
G1719 1.874879465326e-06 1.08085e-06 0 0 0 0 0 0
G1720 2.11231149296865e-06 4.6047e-06 0 0 0 0 0 0
G1721 3.67988939478045e-07 6.5923e-07 0 0 0 0 0 0
G1722 7.6276000167335e-07 1.04146e-10 0 0 0 0 0 0
G1723 1.3705501037956e-06 2.2797e-06 0 0 1 0 0 0
G1724 2.74367421070241e-07 1.04146e-10 0 0 0 3 0 4
G1725 5.6374625029236e-07 1.04146e-10 0 0 0 0 0 0
G1726 2.56092436059929e-07 1.04146e-10 0 0 0 0 0 1
G1727 6.25889978231935e-07 8.61921e-07 0 0 1 13 0 15
G1728 8.73178473322065e-07 5.18686e-07 0 0 0 0 0 0
G1729 4.1067127720834e-07 1.04146e-10 0 0 0 0 0 0
G1730 5.46413082819215e-07 1.04146e-10 0 0 2 0 3 0
G1731 2.87350723346188e-06 2.57131e-06 0 0 0 1 0 0
G1732 4.99211706478424e-07 1.04146e-10 0 0 0 0 0 0
G1733 1.6972281377844e-06 4.172e-09 0 0 0 0 0 0
G1734 3.55863174144524e-07 1.04146e-10 0 0 0 0 0 0
G1735 7.8236727242935e-07 1.04146e-10 0 0 3 0 1 0
G1736 2.60433385214429e-07 1.04146e-10 0 0 0 0 0 0
G1737 3.57227236122036e-07 1.04146e-10 0 0 0 0 0 0
G1738 7.1548792579494e-07 1.04146e-10 0 0 0 0 1 0
G1739 1.29264072950106e-06 2.86985e-06 0 1 0 0 0 0
G1740 3.29480605014938e-07 1.04146e-10 0 0 0 21 0 10
G1741 4.17312634052421e-07 1.35777e-06 0 0 0 0 0 0
G1742 7.17004828834375e-07 1.12664e-06 0 0 0 0 0 0
G1743 6.22633939499745e-07 4.68189e-07 0 0 0 0 0 0
G1744 5.3107041251562e-07 8.58611e-07 0 0 0 1 0 1
G1745 1.79161539785875e-06 1.73086e-06 0 0 0 0 0 0
G1746 8.4784788734467e-07 1.57251e-06 0 0 0 0 0 0
G1747 4.74936284646611e-07 1.19614e-06 0 0 0 0 0 0
G1748 8.99146264274175e-07 1.44438e-06 0 0 0 3 0 9
G1749 4.3103156388746e-07 1.04146e-10 0 0 0 0 0 0
G1750 7.126621697686e-07 1.40483e-06 0 0 0 0 0 0
G1751 5.4384095902703e-07 5.97293e-07 0 0 0 0 0 0
G1752 1.66301807780866e-06 1.04146e-10 0 0 0 0 0 0
G1753 1.6578633778193e-06 1.38881e-06 0 0 3 0 5 0
G1754 1.61121460132657e-07 1.04146e-10 0 0 4 0 2 0
G1755 6.88574018654515e-07 1.70954e-07 0 0 0 0 0 0
G1756 7.23667638802075e-07 4.86517e-07 0 0 0 0 0 0
G1757 5.93410786812435e-07 1.04146e-10 0 0 0 0 0 0
G1758 2.8270148694161e-07 1.04146e-10 0 0 0 0 0 0
G1759 6.39529923468435e-07 6.55518e-07 0 0 0 0 0 0
G1760 2.5489225645024e-07 1.04146e-10 0 0 4 0 4 0
G1761 4.59571866358552e-08 1.04146e-10 0 0 0 0 0 0
G1762 7.44681844902645e-07 1.04146e-10 0 0 0 0 0 0
G1763 3.17277550209984e-07 1.04146e-10 0 0 0 0 0 0
G1764 1.08886052327193e-06 1.04146e-10 0 0 0 0 0 0
G1765 1.29523852742338e-07 1.04146e-10 0 0 1 0 0 0
G1766 1.5440458192009e-06 4.75867e-06 0 0 0 0 0 0
G1767 2.41415159754045e-07 6.7744e-07 0 0 0 56 0 62
G1768 7.2412446246805e-07 1.11957e-06 0 0 1 0 0 0
G1769 8.9950960459583e-08 1.04146e-10 0 0 5 0 19 0
G1770 7.1425160913877e-07 5.22422e-07 0 0 0 0 0 0
G1771 1.8111932889306e-06 3.23014e-06 0 0 0 0 0 0
G1772 1.49002395996655e-06 1.04146e-10 0 0 0 0 0 0
G1773 5.30336885238525e-07 1.04146e-10 0 0 2 0 3 0
G1774 7.55717551175735e-07 1.87035e-06 0 0 0 0 0 0
G1775 4.04390699033891e-07 1.88353e-06 0 0 0 0 0 0
G1776 3.33113913050243e-07 3.47349e-07 0 0 3 1 1 1
G1777 4.46466703450674e-07 1.36156e-06 0 0 0 0 0 5
G1778 4.71571593206423e-07 1.85608e-06 0 0 0 2 0 0
G1779 1.60583731867982e-06 6.01423e-07 0 0 0 0 0 0
G1780 8.33130397775695e-07 4.27401e-07 0 0 0 0 0 0
G1781 6.17603359108495e-07 1.04146e-10 0 0 0 0 0 0
G1782 1.40101926217708e-06 1.13244e-06 0 0 0 0 0 0
G1783 2.14448291540774e-07 5.13009e-07 0 0 0 0 0 0
G1784 2.55067821288895e-07 1.04146e-10 0 0 0 0 0 0
G1785 3.88041829968764e-07 1.04146e-10 0 0 0 0 0 1
G1786 5.6210666422232e-07 1.06493e-06 0 0 5 1 9 2
G1787 7.2450336512578e-07 1.56907e-06 0 0 0 0 0 0
G1788 2.5149619967882e-07 1.04146e-10 0 0 1 0 1 0
G1789 3.53380140238952e-07 1.04146e-10 0 0 0 0 0 0
G1790 2.5850383151601e-07 1.04146e-10 0 0 0 0 0 0
G1791 4.54750866560916e-07 1.04146e-10 0 0 0 0 0 0
G1792 2.63949360677182e-07 1.04146e-10 1 0 2 0 3 0
G1793 3.52647069565205e-07 1.04146e-10 0 0 1 0 0 0
G1794 3.70590347723805e-07 1.04146e-10 0 0 0 0 0 0
G1795 3.71001179113836e-07 1.04146e-10 0 0 0 0 0 0
G1796 3.45754357875709e-07 1.04146e-10 0 0 0 0 0 1
G1797 5.08296545434235e-07 1.05106e-06 0 0 0 0 0 0
G1798 9.43965020841455e-07 6.00703e-07 0 0 0 29 0 45
G1799 4.22084170884478e-07 6.20028e-07 0 0 0 0 0 0
G1800 1.07419312709577e-07 1.04146e-10 0 0 0 0 0 0
G1801 1.39447725785302e-07 1.04146e-10 0 0 0 0 0 0
G1802 1.45323488718762e-06 2.68867e-06 0 0 0 0 0 0
G1803 8.26741223710785e-07 1.50255e-06 0 0 0 10 0 4
G1804 1.32933643597226e-06 1.1665e-06 0 0 0 0 0 0
G1805 2.83707110667376e-07 1.04146e-10 0 0 0 0 0 0
G1806 2.15068207044521e-07 1.14868e-09 0 0 0 0 0 0
G1807 5.27960449813465e-07 1.04146e-10 0 0 0 0 0 0
G1808 3.55988743049245e-07 1.04146e-10 0 0 0 0 0 0
G1809 7.8711491195992e-07 1.04146e-10 0 0 0 0 1 0
G1810 2.8317440599905e-07 1.04146e-10 0 0 0 0 1 0
G1811 2.7364017334261e-07 1.04146e-10 0 0 0 4 1 4
G1812 9.9012993959218e-07 1.04146e-10 0 0 0 0 0 0
G1813 1.24454357766461e-06 3.38395e-07 0 0 0 0 0 0
G1814 1.71721107530205e-06 8.56972e-07 0 0 0 17 0 38
G1815 8.78740026284265e-08 1.04146e-10 0 0 0 0 0 0
G1816 7.39308499840495e-07 1.02735e-07 0 0 6 0 9 0
G1817 1.50008722506618e-06 8.68885e-07 0 0 0 0 0 0
G1818 1.1475043735591e-06 1.04146e-10 0 0 0 1 0 3
G1819 6.73591111317435e-07 1.33608e-06 0 0 0 0 0 0
G1820 1.05537147213713e-06 1.78379e-06 0 0 0 0 0 0
G1821 4.09820788645454e-07 1.04146e-10 0 0 0 0 0 0
G1822 5.35368004494445e-07 1.04146e-10 0 0 0 0 0 0
G1823 9.42419368309285e-07 1.48578e-06 0 0 0 0 0 0
G1824 1.45212581089281e-06 2.87158e-06 0 0 0 26 0 30
G1825 4.93325725177237e-07 8.00698e-07 0 0 0 0 0 1
G1826 1.01808324494172e-06 1.53912e-06 0 0 0 0 1 0
G1827 6.11125343007455e-07 1.04146e-10 0 0 1 0 0 0
G1828 3.64299812480227e-07 1.04146e-10 0 0 0 0 0 0
G1829 1.58970160464514e-06 1.45707e-06 0 0 0 0 0 0
G1830 3.43872986140096e-07 1.04146e-10 0 0 0 0 0 0
G1831 2.88208198572049e-07 1.04146e-10 0 0 0 0 0 0
G1832 4.27186545880495e-07 1.04146e-10 0 0 0 0 0 1
G1833 5.18458239948215e-07 5.94424e-07 0 0 3 1 5 2
G1834 5.6301333905993e-07 1.15164e-06 0 0 0 0 0 0
G1835 6.540284628936e-07 1.90434e-06 0 0 0 0 0 0
G1836 2.4502835046433e-07 1.61405e-06 0 0 0 0 0 2
G1837 4.47507675586691e-07 1.04146e-10 0 0 0 0 0 0
G1838 7.1614073527399e-07 2.12093e-06 0 0 0 0 0 0
G1839 6.8566057497281e-07 2.70179e-06 0 0 0 0 0 0
G1840 1.23261243258761e-07 1.04146e-10 0 0 0 15 0 11
G1841 4.82173236055425e-07 1.23054e-06 0 0 0 8 0 12
G1842 7.52588255465635e-07 1.04146e-10 0 0 0 0 0 0
G1843 6.3453907261739e-07 1.04146e-10 0 0 4 2 8 0
G1844 4.94244117450926e-07 1.04146e-10 0 0 0 0 0 0
G1845 4.43159802457671e-07 1.04146e-10 0 0 0 0 0 0
G1846 1.34546531725244e-06 3.88845e-06 0 0 0 0 0 0
G1847 1.35717258168303e-06 2.79503e-07 0 0 0 0 0 0
G1848 3.08229626222139e-06 1.01741e-05 0 0 0 0 0 0
G1849 1.49156236462439e-06 3.19451e-06 0 0 0 0 0 0
G1850 1.38312725194079e-06 1.04146e-10 0 0 0 0 0 0
G1851 1.15754191513775e-06 1.78987e-06 0 0 0 0 0 0
G1852 1.89642717829633e-07 1.04146e-10 0 0 0 0 0 0
G1853 8.7336592782449e-07 3.24131e-07 0 0 0 0 0 0
G1854 6.01681239048595e-07 2.47951e-06 0 0 0 1 0 1
G1855 1.6973096795559e-07 1.04146e-10 0 0 0 1 0 0
G1856 6.6265566448503e-07 1.04146e-10 0 0 0 0 0 0
G1857 6.5697667139789e-07 1.04833e-07 0 0 0 0 0 0
G1858 1.10327820901346e-06 1.26159e-06 0 0 0 0 0 0
G1859 3.84064269484485e-07 1.04146e-10 0 0 0 0 0 0
G1860 3.33155860947861e-07 1.04146e-10 0 0 0 0 0 0
G1861 3.9417400139343e-07 1.04146e-10 0 0 0 0 0 0
G1862 9.4621142791911e-07 1.08075e-06 0 0 2 0 10 0
G1863 7.5184929951863e-07 1.04146e-10 0 0 0 0 0 0
G1864 2.46520568025665e-06 1.30519e-07 0 0 13 0 16 0
G1865 3.92798293791585e-07 1.04146e-10 0 0 0 0 0 0
G1866 4.59571866358552e-08 1.04146e-10 0 0 0 0 0 0
G1867 2.48558545238028e-07 1.04146e-10 0 0 0 0 0 0
G1868 1.70532579835496e-06 1.04146e-10 0 0 2 0 2 0
G1869 3.93193843316331e-07 1.04146e-10 0 0 0 0 0 0
G1870 4.92265538924353e-07 1.04146e-10 0 0 0 0 0 0
G1871 2.12431204904031e-07 1.04146e-10 0 0 0 0 0 0
G1872 1.32099947264776e-06 1.04146e-10 0 0 0 0 0 0
G1873 4.47998353609321e-07 1.04146e-10 0 0 0 0 0 0
G1874 5.130090721604e-07 1.04146e-10 0 0 3 0 2 0
G1875 5.04914394951625e-07 1.04146e-10 0 0 0 0 0 0
G1876 1.49778191840061e-06 2.97989e-06 0 0 0 0 0 0
G1877 4.95358027724087e-07 1.04146e-10 0 0 0 0 0 0
G1878 5.1647021896286e-07 1.06609e-06 0 0 0 0 0 0
G1879 5.7904428364167e-07 1.04146e-10 0 0 0 0 0 0
G1880 6.81972872861165e-07 2.12016e-07 0 0 0 0 1 0
G1881 2.03579987019541e-06 1.04146e-10 0 0 0 0 0 0
G1882 4.97442077243937e-07 1.04146e-10 0 0 3 0 8 0
G1883 1.58013582120072e-06 2.52893e-06 0 0 0 0 0 0
G1884 6.035795821641e-07 1.04146e-10 0 0 0 0 0 0
G1885 9.93477580666025e-07 4.2814e-08 0 0 5 0 5 0
G1886 1.16204294294496e-06 1.47538e-06 0 0 0 0 0 0
G1887 5.39040759853105e-07 1.04146e-10 0 0 0 0 0 0
G1888 3.57593489555435e-07 1.04146e-10 0 0 0 0 0 0
G1889 6.4914798476276e-07 1.04146e-10 0 0 0 0 0 0
G1890 1.36822962823992e-06 5.66604e-07 0 0 0 0 0 0
G1891 6.2375744475166e-07 1.04146e-10 0 0 1 0 0 0
G1892 2.00261438958061e-06 8.52986e-07 0 0 0 0 0 0
G1893 2.76460231611825e-07 1.04146e-10 0 0 0 0 0 0
G1894 3.96688124599648e-07 1.04146e-10 0 0 0 0 0 0
G1895 4.12038867940815e-07 1.04146e-10 0 0 0 0 0 0
G1896 3.39232034028231e-07 1.04146e-10 0 0 0 0 0 0
G1897 4.68612823481901e-07 1.04146e-10 0 0 0 0 0 0
G1898 6.2673899611215e-07 2.60705e-07 0 0 0 4 0 3
G1899 9.2467070624569e-07 1.04146e-10 0 0 0 0 0 0
G1900 2.03934477262525e-07 1.04146e-10 0 0 0 0 0 0
G1901 1.39581246501047e-07 1.04146e-10 0 0 0 0 0 0
G1902 7.73725207200465e-07 1.43136e-06 0 0 0 0 0 0
G1903 3.86620490427925e-07 1.04146e-10 0 0 0 0 0 0
G1904 1.48806719835171e-06 1.04146e-10 0 0 0 0 0 0
G1905 2.38051949870239e-06 4.14923e-06 0 0 0 0 0 0
G1906 5.6387719901355e-07 5.47258e-07 0 0 0 0 0 0
G1907 4.01186835303758e-07 1.12028e-06 0 0 0 0 0 0
G1908 5.35236466888435e-07 1.04146e-10 0 0 0 0 0 0
G1909 1.08323834416927e-06 9.72276e-07 0 0 1 0 1 1
G1910 3.00110382070617e-07 1.04146e-10 0 0 0 0 0 0
G1911 3.13972895968032e-07 5.25017e-07 0 0 0 0 0 0
G1912 7.23713907988755e-07 1.93554e-06 0 0 0 0 0 0
G1913 2.16156472173045e-07 1.04146e-10 0 0 0 0 0 0
G1914 7.9717689065523e-07 1.04146e-10 0 0 0 0 0 0
G1915 6.3228445638379e-07 1.04146e-10 0 0 0 5 0 1
G1916 5.1853862212688e-07 1.04146e-10 0 0 0 0 0 0
G1917 5.85946377580575e-07 7.09423e-07 0 0 0 5 0 3
G1918 1.05987202114892e-06 1.33431e-06 0 0 2 0 0 0
G1919 1.06869589253955e-06 2.31278e-07 0 0 0 0 0 0
G1920 7.93463542509805e-07 2.78315e-06 0 0 0 0 0 0
G1921 3.36708961027142e-07 1.04146e-10 0 0 0 0 0 0
G1922 4.27219497801128e-07 1.50215e-06 0 0 0 0 0 0
G1923 1.65189067518097e-07 1.04146e-10 0 0 0 0 0 1
G1924 8.0683230858162e-07 1.0922e-06 0 0 0 0 0 0
G1925 1.23268063934869e-06 6.18244e-08 0 0 0 0 0 0
G1926 1.21476818535356e-06 1.04146e-10 0 0 0 0 0 0
G1927 9.0669013496294e-07 1.04146e-10 0 0 1 6 0 10
G1928 5.48460029340415e-07 6.32499e-07 0 0 0 0 0 0
G1929 7.3280432029502e-07 1.04146e-10 0 0 0 0 0 0
G1930 9.86098986606665e-07 1.04146e-10 0 0 0 4 0 5
G1931 2.93632500692162e-07 1.04146e-10 0 0 0 27 0 13
G1932 3.33868540873862e-07 3.08816e-07 0 0 0 0 0 0
G1933 6.32347785653745e-07 5.88289e-07 0 0 0 0 0 0
G1934 9.9511946721128e-08 1.04146e-10 0 0 0 0 0 0
G1935 2.84352044100269e-07 1.04146e-10 0 0 0 0 0 0
G1936 5.63390547554115e-07 1.04146e-10 0 0 1 0 2 0
G1937 5.841786583144e-07 1.04146e-10 0 0 0 0 0 0
G1938 4.25814260100738e-07 4.44085e-07 0 0 0 0 2 0
G1939 6.1515301446277e-07 1.68121e-06 0 0 0 0 0 0
G1940 6.1683798184204e-07 1.82442e-08 0 0 0 0 0 0
G1941 3.57213357866978e-07 1.7777e-06 0 0 0 0 0 0
G1942 6.00980025158965e-07 1.44515e-06 0 0 0 0 0 0
G1943 4.47470183759673e-07 2.47215e-06 0 0 0 0 0 0
G1944 2.64694596856114e-07 2.79214e-06 0 0 0 0 0 0
G1945 4.65325073781918e-07 1.90699e-06 0 0 0 0 0 0
G1946 3.16245140492552e-07 2.37289e-06 0 0 0 1 0 0
G1947 2.63123655196509e-07 1.86329e-06 0 0 0 0 0 0
G1948 7.6064268015491e-07 2.85498e-06 0 0 0 0 0 0
G1949 6.09343702517035e-07 3.10351e-06 0 0 0 0 0 0
G1950 8.00671561378595e-07 1.04146e-10 0 0 0 0 0 0
G1951 3.59779787295541e-07 1.04146e-10 0 0 0 16 0 29
G1952 4.60402501759503e-07 1.04146e-10 0 0 0 0 2 0
G1953 1.22317407962184e-06 1.04146e-10 0 0 0 0 0 0
G1954 4.24626733790102e-07 2.78097e-06 0 0 0 1 0 2
G1955 4.39138518691037e-07 2.41321e-06 0 0 0 0 0 0
G1956 6.8122710526318e-07 2.05042e-06 0 0 0 0 0 0
G1957 8.4687355202306e-07 2.50218e-06 0 0 0 6 0 10
G1958 8.1629299898256e-07 1.71074e-06 0 0 0 0 0 0
G1959 4.92713780587159e-07 1.04146e-10 0 0 0 0 0 0
G1960 8.49033662059855e-07 2.59624e-06 0 0 0 0 0 0
G1961 5.0239778332474e-07 1.04146e-10 0 0 0 0 0 0
G1962 1.76432929671096e-06 3.10065e-06 0 0 0 0 0 0
G1963 1.06149017574415e-06 1.64626e-07 0 0 0 0 0 0
G1964 2.26355604146038e-06 6.03643e-07 0 0 0 0 0 0
G1965 4.43702475958844e-07 1.04146e-10 0 0 0 0 0 0
G1966 1.49349700059692e-06 1.77967e-06 0 0 0 2 0 0
G1967 9.2124387195704e-07 6.86408e-07 0 0 0 0 0 0
G1968 4.97790850578381e-07 7.42996e-08 0 0 0 0 0 0
G1969 4.88241550971638e-07 4.76773e-07 0 0 1 0 2 0
G1970 2.23939656192473e-06 3.393e-06 0 0 0 0 0 0
G1971 5.461493445149e-07 1.04146e-10 0 0 0 0 0 0
G1972 1.09423008058973e-06 3.27132e-06 0 0 3 0 5 0
G1973 2.53588513728912e-07 1.04146e-10 0 0 10 0 16 0
G1974 5.1223949267826e-07 1.40803e-06 0 0 0 0 0 0
G1975 2.08790150017064e-06 1.04146e-10 0 0 0 0 0 0
G1976 5.7027703328423e-07 1.67597e-06 0 0 0 0 0 0
G1977 1.02901771206732e-06 1.04146e-10 0 0 1 5 0 2
G1978 1.57439848335733e-07 1.04146e-10 0 0 0 0 0 0
G1979 6.88769944690985e-07 1.04146e-10 0 0 0 0 0 0
G1980 4.20863552343476e-07 9.78415e-07 0 0 0 0 0 0
G1981 6.75260176822e-07 1.65857e-06 0 0 0 4 2 0
G1982 4.05638073221895e-07 1.04146e-10 0 0 0 0 1 0
G1983 1.85635427915536e-06 6.09018e-07 0 0 0 0 0 0
G1984 1.84510176399886e-07 1.04146e-10 0 0 0 0 1 0
G1985 8.75304773806405e-07 1.04146e-10 0 0 0 0 0 0
G1986 2.77894557802296e-06 1.04146e-10 0 0 0 0 0 0
G1987 6.51985867674695e-07 7.47966e-07 0 0 0 0 0 0
G1988 1.4254827449518e-06 1.56574e-06 0 0 0 0 0 0
G1989 9.33891735862025e-08 1.04146e-10 0 0 0 6 2 9
G1990 6.01783743499945e-07 1.04146e-10 0 0 1 28 0 27
G1991 5.13701719948635e-07 1.04146e-10 0 0 0 0 0 0
G1992 3.89565029155103e-07 4.98322e-07 0 0 0 0 0 0
G1993 4.9845654226165e-07 5.77553e-07 0 0 0 0 0 1
G1994 4.24323183664993e-07 5.83604e-07 0 0 18 9 34 17
G1995 9.04269818243055e-07 1.21076e-06 0 0 0 0 0 0
G1996 4.34283110592112e-08 1.04146e-10 0 0 0 3 0 6
G1997 5.86688929941295e-07 2.38846e-07 0 0 0 0 0 1
